"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG7378","FBgn0030976","Protein Phosphatase","","",""
"CG7789","FBgn0039698","Non-protein Phosphatase","","",""
"CG7956","FBgn0038890","Non-protein Phosphatase","","",""
"CG8105","FBgn0030661","Protein Phosphatase","","",""
"CG8147","FBgn0043791","Protein Phosphatase","","",""
"CG8584","FBgn0033322","Protein Phosphatase","","",""
"CG9389","FBgn0037064","Non-protein Phosphatase","","",""
"CG9391","FBgn0037063","Non-protein Phosphatase","","",""
"CG9425","FBgn0036451","Non-protein Phosphatase","","",""
"CG9449","FBgn0036875","Non-protein Phosphatase","","",""
"CG9451","FBgn0036876","Non-protein Phosphatase","","",""
"CG9452","FBgn0036877","Non-protein Phosphatase","","",""
"CG9601","FBgn0037578","Protein Phosphatase","","",""
"CG9784","FBgn0030761","Non-protein Phosphatase","","",""
"Cib2","FBgn0034558","Protein Phosphatase","","",""
"cN-IIIB","FBgn0034988","Non-protein Phosphatase","","",""
"comt","FBgn0000346","Non-protein Phosphatase","","",""
"csw","FBgn0000382","Protein Phosphatase","","",""
"Dd","FBgn0029067","Protein Phosphatase","","",""
"dgt1","FBgn0039710","Non-protein Phosphatase","","",""
"dome","FBgn0043903","Protein Phosphatase","","",""
"dUTPase","FBgn0250837","Non-protein Phosphatase","","",""
"EDTP","FBgn0027506","Protein Phosphatase","","",""
"elg1","FBgn0036574","Non-protein Phosphatase","","",""
"fbp","FBgn0032820","Non-protein Phosphatase","","",""
"Fcp1","FBgn0035026","Protein Phosphatase","","",""
"fig","FBgn0039694","Protein Phosphatase","","",""
"flw","FBgn0000711","Protein Phosphatase","","",""
"G6P","FBgn0031463","Non-protein Phosphatase","","",""
"IA-2","FBgn0031294","Protein Phosphatase","","",""
"Ipp","FBgn0016672","Non-protein Phosphatase","","",""
"Kat60","FBgn0040208","Non-protein Phosphatase","","",""
"l(1)G0196","FBgn0027279","Non-protein Phosphatase","","",""
"l(1)G0232","FBgn0028341","Protein Phosphatase","","",""
"Lar","FBgn0000464","Protein Phosphatase","","",""
"laza","FBgn0037163","Non-protein Phosphatase","","",""
"Mbs","FBgn0005536","Protein Phosphatase","","",""
"Mipp1","FBgn0026061","Non-protein Phosphatase","","",""
"Mipp2","FBgn0026060","Non-protein Phosphatase","","",""
"Mkp","FBgn0083992","Protein Phosphatase","","",""
"MKP-4","FBgn0031044","Protein Phosphatase","","",""
"Mkp3","FBgn0036844","Protein Phosphatase","","",""
