"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG4945","FBgn0034137","Protein Kinase","","",""
"CG5144","FBgn0035957","Non-protein Kinase","","",""
"CG5626","FBgn0036266","Non-protein Kinase","","",""
"CG5757","FBgn0034299","Non-protein Kinase","","",""
"CG5790","FBgn0032677","Protein Kinase","","",""
"CG5828","FBgn0031682","Non-protein Kinase","","",""
"CG6145","FBgn0033853","Non-protein Kinase","","",""
"CG6218","FBgn0038321","Non-protein Kinase","","",""
"CG6364","FBgn0263398","Non-protein Kinase","","",""
"CG6509","FBgn0032363","Non-protein Kinase","","",""
"CG6650","FBgn0036402","Non-protein Kinase","","",""
"CG6767","FBgn0036030","Non-protein Kinase","","",""
"CG6800","FBgn0038902","Protein Kinase","","",""
"CG7028","FBgn0027587","Protein Kinase","","",""
"CG7069","FBgn0038952","Non-protein Kinase","","",""
"CG7094","FBgn0032650","Protein Kinase","","",""
"CG7156","FBgn0038588","Protein Kinase","","",""
"CG7236","FBgn0031730","Protein Kinase","","",""
"CG7328","FBgn0036942","Non-protein Kinase","","",""
"CG7335","FBgn0036941","Non-protein Kinase","","",""
"CG7362","FBgn0038258","Non-protein Kinase","","",""
"CG7470","FBgn0037146","Non-protein Kinase","","",""
"CG7497","FBgn0036742","Protein Kinase","","",""
"CG7551","FBgn0036161","Non-protein Kinase","","",""
"CG7616","FBgn0036142","Protein Kinase","","",""
"CG7766","FBgn0030087","Non-protein Kinase","","",""
"CG8080","FBgn0033373","Non-protein Kinase","","",""
"CG8173","FBgn0030864","Protein Kinase","","",""
"CG8239","FBgn0030683","Non-protein Kinase","","",""
"CG8298","FBgn0033673","Non-protein Kinase","","",""
"CG8311","FBgn0034141","Non-protein Kinase","","",""
"CG8485","FBgn0033915","Protein Kinase","","",""
"CG8565","FBgn0030697","Protein Kinase","","",""
"CG8726","FBgn0033244","Protein Kinase","","",""
"CG8866","FBgn0037679","Protein Kinase","","",""
"CG8878","FBgn0027504","Protein Kinase","","",""
"CG9222","FBgn0031784","Protein Kinase","","",""
"CG9257","FBgn0032916","Protein Kinase","","",""
"CG9541","FBgn0032083","Non-protein Kinase","","",""
"CG9886","FBgn0031428","Non-protein Kinase","","",""
"CG9961","FBgn0031451","Non-protein Kinase","","",""
"CG9962","FBgn0031441","Protein Kinase","","",""
"CkIalpha","FBgn0015024","Protein Kinase","","",""
"CkIIbeta","FBgn0000259","Protein Kinase","","",""
"CkIIbeta2","FBgn0026136","Protein Kinase","","",""
"Cks30A","FBgn0010314","Protein Kinase","","",""
"Csk","FBgn0262081","Protein Kinase","","",""
"CycT","FBgn0025455","Protein Kinase","","",""
"Dak1","FBgn0028833","Non-protein Kinase","","",""
"dco","FBgn0002413","Protein Kinase","","",""
"Ddr","FBgn0053531","Protein Kinase","","",""
"Dgk","FBgn0085390","Non-protein Kinase","","",""
"Dgkepsilon","FBgn0020930","Non-protein Kinase","","",""
"dnk","FBgn0022338","Non-protein Kinase","","",""
"dnt","FBgn0024245","Protein Kinase","","",""
"Doa","FBgn0265998","Protein Kinase","","",""
"dop","FBgn0267390","Protein Kinase","","",""
"Dpck","FBgn0037469","Non-protein Kinase","","",""
"Drak","FBgn0052666","Protein Kinase","","",""
"drl","FBgn0015380","Protein Kinase","","",""
"Drl-2","FBgn0033791","Protein Kinase","","",""
"Dsor1","FBgn0010269","Protein Kinase","","",""
"Dyrk2","FBgn0016930","Protein Kinase","","",""
"Dyrk3","FBgn0027101","Protein Kinase","","",""
"eas","FBgn0000536","Non-protein Kinase","","",""
"Egfr","FBgn0003731","Protein Kinase","","",""
"Eip63E","FBgn0005640","Protein Kinase","","",""
"Eph","FBgn0025936","Protein Kinase","","",""
"Erk7","FBgn0052703","Protein Kinase","","",""
"fab1","FBgn0028741","Non-protein Kinase","","",""
"Fak","FBgn0020440","Protein Kinase","","",""
"Fancd2","FBgn0038827","Protein Kinase","","",""
"fbl","FBgn0011205","Non-protein Kinase","","",""
"FER","FBgn0000723","Protein Kinase","","",""
"fj","FBgn0000658","Protein Kinase","","",""
"for","FBgn0000721","Protein Kinase","","",""
"fray","FBgn0023083","Protein Kinase","","",""
"fs(1)h","FBgn0004656","Protein Kinase","","",""
"fu","FBgn0001079","Protein Kinase","","",""
"Fur2","FBgn0004598","Protein Kinase","","",""
"fwd","FBgn0004373","Non-protein Kinase","","",""
"Galk","FBgn0263199","Non-protein Kinase","","",""
"GckIII","FBgn0266465","Protein Kinase","","",""
"Gcn2","FBgn0019990","Protein Kinase","","",""
"gek","FBgn0023081","Protein Kinase","","",""
"gish","FBgn0250823","Protein Kinase","","",""
"Gk","FBgn0035266","Non-protein Kinase","","",""
"Gprk1","FBgn0260798","Protein Kinase","","",""
"Gprk2","FBgn0261988","Protein Kinase","","",""
"grp","FBgn0261278","Protein Kinase","","",""
"gskt","FBgn0046332","Protein Kinase","","",""
"gwl","FBgn0260399","Protein Kinase","","",""
"Gyc32E","FBgn0010197","Protein Kinase","","",""
"Gyk","FBgn0025592","Non-protein Kinase","","",""
"Haspin","FBgn0046706","Protein Kinase","","",""
"hep","FBgn0010303","Protein Kinase","","",""
"Hex-A","FBgn0001186","Non-protein Kinase","","",""
"Hex-C","FBgn0001187","Non-protein Kinase","","",""
"Hex-t1","FBgn0042711","Non-protein Kinase","","",""
"Hex-t2","FBgn0042710","Non-protein Kinase","","",""
"hipk","FBgn0035142","Protein Kinase","","",""
"hop","FBgn0004864","Protein Kinase","","",""
"hpo","FBgn0261456","Protein Kinase","","",""
"hppy","FBgn0263395","Protein Kinase","","",""
"htl","FBgn0010389","Protein Kinase","","",""
"ik2","FBgn0086657","Protein Kinase","","",""
"Ilk","FBgn0028427","Protein Kinase","","",""
"inaC","FBgn0004784","Protein Kinase","","",""
"InR","FBgn0013984","Protein Kinase","","",""
"IP3K1","FBgn0032147","Non-protein Kinase","","",""
"IP3K2","FBgn0266375","Non-protein Kinase","","",""
"Ipk1","FBgn0050295","Non-protein Kinase","","",""
"Ipk2","FBgn0031267","Non-protein Kinase","","",""
"Irbp","FBgn0011774","Protein Kinase","","",""
"ird1","FBgn0260935","Protein Kinase","","",""
"ird5","FBgn0024222","Protein Kinase","","",""
"Ire1","FBgn0261984","Protein Kinase","","",""
"JIL-1","FBgn0020412","Protein Kinase","","",""
"key","FBgn0041205","Protein Kinase","","",""
"KP78a","FBgn0026064","Protein Kinase","","",""
"KP78b","FBgn0026063","Protein Kinase","","",""
"ksr","FBgn0015402","Protein Kinase","","",""
"l(2)k01209","FBgn0022029","Non-protein Kinase","","",""
"lic","FBgn0261524","Protein Kinase","","",""
"LIMK1","FBgn0041203","Protein Kinase","","",""
"Liprin-beta","FBgn0036376","Protein Kinase","","",""
"Lk6","FBgn0017581","Protein Kinase","","",""
"lkb1","FBgn0038167","Protein Kinase","","",""
"lok","FBgn0019686","Protein Kinase","","",""
"Lrrk","FBgn0038816","Protein Kinase","","",""
"Madm","FBgn0027497","Protein Kinase","","",""
"Magi","FBgn0034590","Non-protein Kinase","","",""
"MAPk-Ak2","FBgn0013987","Protein Kinase","","",""
"mbt","FBgn0025743","Protein Kinase","","",""
"mei-41","FBgn0004367","Protein Kinase","","",""
"Mekk1","FBgn0024329","Protein Kinase","","",""
"metro","FBgn0050021","Non-protein Kinase","","",""
"Mkk4","FBgn0024326","Protein Kinase","","",""
"mnb","FBgn0259168","Protein Kinase","","",""
"mos","FBgn0033773","Protein Kinase","","",""
"Mps1","FBgn0000063","Protein Kinase","","",""
"mri","FBgn0035107","Non-protein Kinase","","",""
"msn","FBgn0010909","Protein Kinase","","",""
"Mulk","FBgn0260750","Non-protein Kinase","","",""
"Myt1","FBgn0040298","Protein Kinase","","",""
"Nak","FBgn0015772","Protein Kinase","","",""
"ND-42","FBgn0019957","Non-protein Kinase","","",""
"Nek2","FBgn0029970","Protein Kinase","","",""
"niki","FBgn0045980","Protein Kinase","","",""
"ninaC","FBgn0002938","Protein Kinase","","",""
"Nipped-A","FBgn0053554","Protein Kinase","","",""
"nmdyn-D6","FBgn0030573","Non-protein Kinase","","",""
"nmdyn-D7","FBgn0028997","Non-protein Kinase","","",""
"nmo","FBgn0011817","Protein Kinase","","",""
"Nrk","FBgn0020391","Protein Kinase","","",""
"otk","FBgn0004839","Protein Kinase","","",""
"otk2","FBgn0267728","Protein Kinase","","",""
"p38a","FBgn0015765","Protein Kinase","","",""
"p38b","FBgn0024846","Protein Kinase","","",""
"p38c","FBgn0267339","Protein Kinase","","",""
"Pak","FBgn0267698","Protein Kinase","","",""
"Pak3","FBgn0044826","Protein Kinase","","",""
"Papss","FBgn0020389","Non-protein Kinase","","",""
"par-1","FBgn0260934","Protein Kinase","","",""
"Pask","FBgn0034950","Protein Kinase","","",""
"Pdk","FBgn0017558","Protein Kinase","","",""
"Pdk1","FBgn0020386","Protein Kinase","","",""
"Pdxk","FBgn0085484","Non-protein Kinase","","",""
"PEK","FBgn0037327","Protein Kinase","","",""
"Pepck","FBgn0003067","Non-protein Kinase","","",""
"Pfk","FBgn0003071","Non-protein Kinase","","",""
"Pfrx","FBgn0027621","Non-protein Kinase","","",""
"Pgk","FBgn0250906","Non-protein Kinase","","",""
"Phk-3","FBgn0035089","Protein Kinase","","",""
"PhKgamma","FBgn0011754","Protein Kinase","","",""
"phl","FBgn0003079","Protein Kinase","","",""
"Pi3K59F","FBgn0015277","Non-protein Kinase","","",""
"Pi3K68D","FBgn0015278","Non-protein Kinase","","",""
"Pi3K92E","FBgn0015279","Non-protein Kinase","","",""
"Pi4KIIalpha","FBgn0037339","Non-protein Kinase","","",""
"PI4KIIIalpha","FBgn0267350","Non-protein Kinase","","",""
"Pink1","FBgn0029891","Protein Kinase","","",""
"PIP4K","FBgn0039924","Non-protein Kinase","","",""
"PIP5K59B","FBgn0034789","Non-protein Kinase","","",""
"Pitslre","FBgn0016696","Protein Kinase","","",""
"Pk34A","FBgn0028410","Protein Kinase","","",""
"Pk92B","FBgn0014006","Protein Kinase","","",""
"Pka-C1","FBgn0000273","Protein Kinase","","",""
"Pka-C2","FBgn0000274","Protein Kinase","","",""
"Pka-C3","FBgn0000489","Protein Kinase","","",""
"Pka-R2","FBgn0022382","Protein Kinase","","",""
"Pkc53E","FBgn0003091","Protein Kinase","","",""
"Pkc98E","FBgn0003093","Protein Kinase","","",""
"Pkcdelta","FBgn0259680","Protein Kinase","","",""
"PKD","FBgn0038603","Protein Kinase","","",""
"Pkg21D","FBgn0000442","Protein Kinase","","",""
"Pkn","FBgn0020621","Protein Kinase","","",""
"pll","FBgn0010441","Protein Kinase","","",""
"png","FBgn0000826","Protein Kinase","","",""
"polo","FBgn0003124","Protein Kinase","","",""
"Ppat-Dpck","FBgn0035632","Non-protein Kinase","","",""
"Prpk","FBgn0035590","Protein Kinase","","",""
"put","FBgn0003169","Protein Kinase","","",""
"Pvr","FBgn0032006","Protein Kinase","","",""
"pyd","FBgn0262614","Non-protein Kinase","","",""
"PyK","FBgn0267385","Non-protein Kinase","","",""
"rdgA","FBgn0261549","Non-protein Kinase","","",""
"Ret","FBgn0011829","Protein Kinase","","",""
"RIOK1","FBgn0036187","Protein Kinase","","",""
"RIOK2","FBgn0039306","Protein Kinase","","",""
"rl","FBgn0003256","Protein Kinase","","",""
"Rok","FBgn0026181","Protein Kinase","","",""
"Ror","FBgn0010407","Protein Kinase","","",""
"S6k","FBgn0015806","Protein Kinase","","",""
"S6kII","FBgn0262866","Protein Kinase","","",""
"S6KL","FBgn0004462","Protein Kinase","","",""
"SAK","FBgn0026371","Protein Kinase","","",""
"sax","FBgn0003317","Protein Kinase","","",""
"Sdr","FBgn0038279","Protein Kinase","","",""
"SelD","FBgn0261270","Non-protein Kinase","","",""
"sev","FBgn0003366","Protein Kinase","","",""
"sff","FBgn0036544","Protein Kinase","","",""
"sgg","FBgn0003371","Protein Kinase","","",""
"shark","FBgn0015295","Protein Kinase","","",""
"shf","FBgn0003390","Protein Kinase","","",""
"Sik2","FBgn0025625","Protein Kinase","","",""
"Sik3","FBgn0262103","Protein Kinase","","",""
"Sk1","FBgn0030300","Non-protein Kinase","","",""
"Sk2","FBgn0052484","Non-protein Kinase","","",""
"sktl","FBgn0016984","Non-protein Kinase","","",""
"slik","FBgn0035001","Protein Kinase","","",""
"slpr","FBgn0030018","Protein Kinase","","",""
"sls","FBgn0086906","Protein Kinase","","",""
